kind,rmp_id,name,city,state,naics,ammonia_lb,reported_name,account,reason,validation_note,action
numeric_outlier,100000057323,Neches Terminal,Beaumont,TX,49312,89000000,,Martin Operating Partnership,"ammonia_lb 89,000,000 exceeds p99 (158,000 lb) x 10; median is 20,000 lb. Probable units error or NAICS misclassification in the self-reported filing. Excluded from scoring pending human review.","ammonia_lb 89,000,000 exceeds p99 (158,000 lb) x 10; median is 20,000 lb. Probable units error or NAICS misclassification in the self-reported filing. Excluded from scoring pending human review.","verify the filing, correct the value, or confirm exclusion"
unresolved_name,100000183847,"Tex-Mex Cold Storage, Inc.",Brownsville,TX,49312,15000,NA,,no usable parent/operator/facility name after normalisation,,assign to an account or create one
unresolved_name,100000190722,"Berkshire Refrigerated Warehousing, LLC",Chicago,IL,49312,15000,NA,,no usable parent/operator/facility name after normalisation,,assign to an account or create one
below_threshold,100000021219,General Mills - Belvidere,Belvidere,IL,311411,80000,General Mills,General Mills,"single site at 80000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000028515,4220 South Kildare Boulevard,Chicago,IL,49312,95000,Scout Cold Storage Chicago,Scout Cold Storage Chicago,"single site at 95000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000046755,Nortera Foods Inc - Fairwater,Fairwater,WI,311411,64000,Bonduelle Americas,Bonduelle Americas,"single site at 64000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000061354,"Titan Cold Storage, Inc. Bakersfield",Bakersfield,CA,49312,60200,Titan Cold Storage,Titan Cold Storage,"single site at 60200 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000063879,Setton Pistachio of Terra Bella,Ducor,CA,49312,53500,Setton Pistachio,Setton Pistachio,"single site at 53500 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000071165,Albertsons Distribution Center #38411,Brea,CA,49312,55800,ABS CAO DC2,ABS CAO DC2,"single site at 55800 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000085481,"Unisea, Inc.",Redmond,WA,31171,58000,Nissui USA,Nissui USA,"single site at 58000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000111292,Indiana Packers Corporation,Delphi,IN,311611,82000,Mitsubishi,Mitsubishi,"single site at 82000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000119418,McLane Grocery- North Texas,Fort Worth,TX,49312,55036,McLane Grocery North Texas,McLane Grocery North Texas,"single site at 55036 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000139236,Columbine Vineyards Plant 2,Delano,CA,111332,65000,ACMII California 6,ACMII California 6,"single site at 65000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000151569,NUNES COOLING INC.,Yuma,AZ,115114,64600,Nunes,Nunes,"single site at 64600 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000159847,"Red Kingfisher, LLC",Thomasville,GA,49312,61932,Chad Paige,Chad Paige,"single site at 61932 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000161638,"Penske Logistics, LLC",Keller,TX,49312,54310,Christopher Hawk,Christopher Hawk,"single site at 54310 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000183696,"Peace River Citrus Products, Inc.",Bartow,FL,49312,70000,Bartow Citrus Products,Bartow Citrus Products,"single site at 70000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000073635,J.H. Routh Packing Co.,Sandusky,OH,31161,57000,JH Routh Packing,JH Routh Packing,"single site at 57000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000079121,"Smithfield Fresh Meats Corp. - Denison, IA",DENISON,IA,31161,88000,Smithfield Fresh Meats,Smithfield Fresh Meats,"single site at 88000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000082466,Eddy Carolina Pride LLC,Greenwood,SC,31161,70000,Carolina Pride Foods,Carolina Pride Foods,"single site at 70000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000113441,WholeStone Farms Cooperative Inc - Fremont Plant,Fremont,NE,31161,63000,WholeStone Farms Cooperative,WholeStone Farms Cooperative,"single site at 63000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000195353,"OWB Packers, LLC",Brawley,CA,31161,70000,Eric Brandt,Eric Brandt,"single site at 70000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000056011,"Ruiz Food Products, Inc. - Dinuba",Dinuba,CA,31141,50000,Ruiz Food Products,Ruiz Food Products,"single site at 50000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000112665,"Smith Frozen Foods, INC",Weston,OR,31141,80000,Gary Crowder,Gary Crowder,"single site at 80000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000174367,Suzanna's Kitchen III,Suwanee,GA,42221,70000,Suzannas Kitchen III,Suzannas Kitchen III,"single site at 70000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000093098,FLEISCHMANN'S YEAST,Memphis,TN,311999,94393,ABF North America Holdings,ABF North America Holdings,"single site at 94393 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000148164,"Johanna Foods, Inc.",FLEMINGTON,NJ,31199,55000,JOHANNA FOODS,JOHANNA FOODS,"single site at 55000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000211923,"West Liberty Foods, Tremonton",Tremonton,UT,31199,57145,West Liberty Foods LLC,West Liberty Foods LLC,"single site at 57145 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000072388,"Associated Grocers, Inc.",Baton Rouge,LA,42249,50000,Associated Grocers,Associated Grocers,"single site at 50000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
below_threshold,100000203166,Stater Bros. Markets Refrigerated DC,San Bernardino,CA,42449,80000,Stater Bros Markets,Stater Bros Markets,"single site at 80000 lb, below the 100000 lb pilot floor",,confirm whether this is a prospect; approving admits it as a sub-threshold account
merge_rescue,100000174143,"Sodus Cold Storage Co., Inc.",Sodus,NY,49312,14693,"Sodus Cold Storage Co., Inc.",Sodus Cold Storage,"would have merged into United States Cold Storage, an existing CUSTOMER, and been suppressed from outbound",,confirm Sodus Cold Storage is a separate company from United States Cold Storage
